date,download,test_server,test_server_distance,test_server_latency,test_server_location,upload
2016-12-07 04:00:02,54.92,Stadtwerke Neumünster GmbH,0.0,30.461,Neumuenster,5.42
2016-12-07 05:00:01,55.25,Stadtwerke Neumünster GmbH,0.0,30.979,Neumuenster,5.4
2016-12-07 06:00:01,52.83,C&S Breitband GmbH,0.0,34.362,Bad Oldesloe,5.33
2016-12-07 07:00:02,53.94,wilhelm.tel,0.0,29.468,Norderstedt,5.37
2016-12-07 08:00:02,55.79,C&S Breitband GmbH,0.0,31.967,Bad Oldesloe,5.43
2016-12-07 09:00:01,55.68,Stadtwerke Neumünster GmbH,0.0,32.836,Neumuenster,5.43
2016-12-07 10:00:01,54.28,C&S Breitband GmbH,0.0,30.413,Bad Oldesloe,5.43
2016-12-07 11:00:01,54.24,wilhelm.tel,0.0,29.216,Norderstedt,5.47
2016-12-07 12:00:01,55.65,C&S Breitband GmbH,0.0,32.161,Bad Oldesloe,5.32
2016-12-07 13:00:01,54.44,C&S Breitband GmbH,0.0,32.594,Bad Oldesloe,5.29
2016-12-07 14:00:01,53.9,wilhelm.tel,0.0,30.646,Norderstedt,5.27
2016-12-07 15:00:02,53.04,wilhelm.tel,0.0,27.576,Norderstedt,5.17
2016-12-07 16:00:01,54.81,Stadtwerke Neumünster GmbH,0.0,32.887,Neumuenster,5.53
2016-12-07 17:00:01,54.3,wilhelm.tel,0.0,29.098,Norderstedt,5.2
2016-12-07 18:00:01,55.43,Studio Funk GmbH & Co. KG,0.0,32.752,Hamburg,5.51
2016-12-07 19:00:01,50.9,wilhelm.tel,0.0,30.5,Norderstedt,5.3
2016-12-07 20:00:01,53.44,Stadtwerke Neumünster GmbH,0.0,34.398,Neumuenster,5.4
2016-12-07 21:00:01,46.28,C&S Breitband GmbH,0.0,32.946,Bad Oldesloe,5.25
2016-12-07 22:00:01,46.15,wilhelm.tel,0.0,32.632,Norderstedt,4.69
2016-12-07 23:00:01,47.3,wilhelm.tel,0.0,31.164,Norderstedt,5.43
2016-12-08 00:00:01,48.96,wilhelm.tel,0.0,31.744,Norderstedt,5.44
2016-12-08 01:00:01,55.88,C&S Breitband GmbH,0.0,32.601,Bad Oldesloe,5.38
2016-12-08 02:00:01,55.94,C&S Breitband GmbH,0.0,30.983,Bad Oldesloe,5.38
2016-12-08 03:00:01,55.71,C&S Breitband GmbH,0.0,30.801,Bad Oldesloe,5.5
2016-12-08 04:00:01,55.4,C&S Breitband GmbH,0.0,30.995,Bad Oldesloe,5.54
2016-12-08 05:00:01,41.6,Studio Funk GmbH & Co. KG,0.0,34.158,Hamburg,5.38
2016-12-08 06:00:01,55.59,Stadtwerke Neumünster GmbH,0.0,34.424,Neumuenster,5.41
2016-12-08 07:00:01,56.27,C&S Breitband GmbH,0.0,31.515,Bad Oldesloe,5.37
2016-12-08 08:00:01,55.82,Stadtwerke Neumünster GmbH,0.0,31.669,Neumuenster,5.41
2016-12-08 09:00:01,56.08,C&S Breitband GmbH,0.0,32.528,Bad Oldesloe,5.49
2016-12-08 10:00:01,55.62,Stadtwerke Neumünster GmbH,0.0,31.667,Neumuenster,5.34
2016-12-08 11:00:01,54.11,wilhelm.tel,0.0,29.031,Norderstedt,5.33
2016-12-08 12:00:01,54.16,wilhelm.tel,0.0,29.133,Norderstedt,5.34
2016-12-08 13:00:02,55.75,C&S Breitband GmbH,0.0,32.118,Bad Oldesloe,5.49
2016-12-08 14:00:01,55.7,C&S Breitband GmbH,0.0,32.944,Bad Oldesloe,5.39
2016-12-08 15:00:01,54.21,wilhelm.tel,0.0,30.888,Norderstedt,5.36
2016-12-08 16:00:01,53.97,wilhelm.tel,0.0,32.458,Norderstedt,5.41
2016-12-08 17:00:01,55.54,Stadtwerke Neumünster GmbH,0.0,36.348,Neumuenster,5.48
2016-12-08 18:00:01,54.85,Stadtwerke Neumünster GmbH,0.0,31.99,Neumuenster,5.44
2016-12-08 19:00:01,51.63,C&S Breitband GmbH,0.0,32.604,Bad Oldesloe,5.47
2016-12-08 20:00:01,48.25,Stadtwerke Neumünster GmbH,0.0,33.66,Neumuenster,5.36
2016-12-08 21:00:01,44.48,C&S Breitband GmbH,0.0,38.287,Bad Oldesloe,5.31
2016-12-08 22:00:01,46.85,C&S Breitband GmbH,0.0,34.147,Bad Oldesloe,5.42
2016-12-08 23:00:01,50.21,Stadtwerke Neumünster GmbH,0.0,31.501,Neumuenster,5.26
2016-12-09 00:00:01,54.85,C&S Breitband GmbH,0.0,31.559,Bad Oldesloe,5.32
2016-12-09 01:00:02,51.97,wilhelm.tel,0.0,29.727,Norderstedt,5.3
